Track,Artist,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Year
Abc,The Jackson 5,2:42,4,0.682,0.926,3,-2.515,0,0.0607,0.0404,0,0.19,0.86,105.969,81,1970
Let It Be,The Beatles,4:03,4,0.443,0.403,0,-8.339,1,0.0322,0.631,0,0.111,0.41,143.462,78,1970
I Want You Back,The Jackson 5,2:56,4,0.469,0.538,8,-13.559,1,0.0575,0.305,0.000114,0.37,0.885,196.606,78,1970
Cecilia,Simon & Garfunkel,2:54,4,0.755,0.876,0,-8.867,1,0.0362,0.357,0.00000517,0.22,0.954,102.762,76,1970
Spirit In The Sky,Norman Greenbaum,4:02,4,0.609,0.617,9,-7.091,1,0.0307,0.0994,0.00404,0.118,0.543,128.903,75,1970
Love Grows (WHERE My Rosemary Goes),Edison Lighthouse,2:54,4,0.568,0.824,9,-4.613,1,0.0299,0.403,0,0.0855,0.753,108.625,73,1970
The Letter,Joe Cocker,1:31,4,0.721,0.496,8,-6.296,1,0.0645,0.14,0.000101,0.102,0.18,81.499,72,1970
The House Of The Rising Sun,Frijid Pink,4:31,3,0.295,0.584,9,-6.696,0,0.0345,0.000385,0.218,0.0996,0.228,117.2,71,1970
Fire And Rain,James Taylor,3:23,4,0.597,0.271,5,-17.293,1,0.0394,0.766,0.0119,0.0933,0.338,76.271,71,1970
In The Summertime,Mungo Jerry,3:31,4,0.754,0.449,4,-14.013,1,0.0615,0.724,0,0.162,0.973,82.751,71,1970
Make It With You,Bread,3:12,4,0.629,0.355,4,-11.123,1,0.0246,0.66,0.000648,0.173,0.471,83.886,69,1970
War,Edwin Starr,2:36,4,0.633,0.664,10,-5.037,1,0.0294,0.46,0,0.108,0.268,115.058,69,1970
Venus,Shocking Blue,3:49,4,0.722,0.961,9,-4.812,1,0.0514,0.0883,0.61,0.278,0.911,126.113,69,1970
No Time,The Guess Who,3:44,4,0.576,0.974,1,-2.785,1,0.0829,0.0199,0,0.348,0.53,129.088,69,1970
Lola,The Kinks,4:01,4,0.456,0.894,9,-4.602,1,0.037,0.458,0.485,0.0695,0.926,151.333,69,1970
Bridge Over Troubled Water,Simon & Garfunkel,4:53,4,0.149,0.206,3,-13.888,1,0.0323,0.822,0.000649,0.115,0.264,79.764,68,1970
Cracklin’ Rosie,Neil Diamond,2:59,4,0.564,0.505,1,-14.835,1,0.0336,0.318,0,0.163,0.863,127.815,64,1970
Raindrops Keep Fallin’ On My Head,B.J. Thomas,3:00,4,0.598,0.484,5,-9.663,1,0.0718,0.861,0.018,0.114,0.513,109.321,63,1970
25 Or 6 To 4,Chicago,4:49,4,0.604,0.905,4,-7.059,0,0.0578,0.309,0.0632,0.0837,0.723,147.448,63,1970
(THEY Long To Be) Close To You,The Carpenters,4:36,4,0.532,0.244,8,-14.652,1,0.0327,0.707,0.0000456,0.122,0.238,89.327,63,1970
Hitchin’ A Ride,Vanity Fare,2:51,4,0.424,0.919,9,-4.629,1,0.1,0.00306,0.00674,0.123,0.684,163.732,63,1970
Come And Get It,Badfinger,3:01,4,0.567,0.987,4,-4.069,1,0.0765,0.000133,0.0000238,0.371,0.383,107.974,62,1970
Leaving On A Jet Plane,"Peter, Paul and Mary",4:05,4,0.406,0.188,7,-13.039,1,0.0324,0.852,0,0.105,0.629,120.757,62,1970
Evil Ways,Santana,3:58,4,0.704,0.528,5,-13.382,1,0.0358,0.22,0.35,0.14,0.73,117.472,62,1970
Make Me Smile,Chicago,3:59,4,0.571,0.818,0,-8.277,1,0.0337,0.00706,0.000181,0.0877,0.773,141.464,61,1970
Get Ready,Rare Earth,2:44,4,0.591,0.737,7,-5.867,1,0.0386,0.404,0,0.108,0.878,133.025,61,1970
I’ll Be There,The Jackson 5,3:52,4,0.527,0.852,2,-6.18,1,0.0456,0.0209,0.00000301,0.187,0.254,112.491,61,1970
Express Yourself,Charles Wright & the Watts 103rd Street Rhythm Band,4:25,4,0.851,0.583,8,-11.022,0,0.286,0.0506,0,0.236,0.956,95.048,60,1970
"He Ain’t Heavy, He’s My Brother",The Hollies,4:16,4,0.348,0.328,7,-11.505,1,0.0288,0.181,0.0000167,0.263,0.232,76.059,60,1970
Mama Told Me (NOT To Come),Three Dog Night,3:18,4,0.673,0.673,1,-13.941,1,0.0493,0.373,0.0265,0.206,0.825,119.994,60,1970
The Rapper,The Jaggerz,2:48,4,0.639,0.626,6,-6.978,0,0.243,0.141,0,0.178,0.336,174.097,58,1970
All Right Now,Free,5:34,4,0.773,0.407,2,-15.039,1,0.0752,0.0768,0.00000177,0.08,0.775,119.829,56,1970
Spill The Wine,Eric Burdon & War,4:06,4,0.818,0.475,2,-12.88,0,0.0708,0.471,0,0.0943,0.902,120.378,55,1970
Thank You (FALETTINME Be Mice Elf Agin),Sly & the Family Stone,4:51,4,0.9,0.709,9,-12.683,1,0.0636,0.296,0.00047,0.0863,0.897,105.822,55,1970
Arizona,Mark Lindsay,4:50,4,0.506,0.523,4,-6.809,1,0.0302,0.0146,0.232,0.0874,0.348,154.053,53,1970
"Easy Come, Easy Go",Bobby Sherman,3:04,4,0.811,0.371,2,-14.992,1,0.0328,0.584,0.0019,0.062,0.745,106.682,52,1970
Instant Karma!,John Lennon,3:20,4,0.628,0.931,9,-9.973,1,0.0968,0.000689,0.00146,0.0997,0.144,119.976,52,1970
Didn’t I (BLOW Your Mind This Time),The Delfonics,3:21,4,0.484,0.59,9,-6.663,1,0.0283,0.795,0.00306,0.155,0.324,140.588,52,1970
Vehicle,The Ides of March,2:58,4,0.474,0.734,10,-8.813,0,0.0426,0.0871,0.00356,0.26,0.926,101.751,52,1970
Snowbird,Anne Murray,2:14,4,0.531,0.48,9,-10.633,1,0.0366,0.256,0.000136,0.0908,0.881,104.117,51,1970
Ride Captain Ride,Blues Image,3:45,4,0.547,0.655,2,-11.707,1,0.0414,0.136,0.00737,0.116,0.649,125.545,51,1970
Woodstock,"Crosby, Stills, Nash & Young",3:53,4,0.458,0.539,4,-12.403,0,0.057,0.122,0.00946,0.17,0.56,118.95,50,1970
Rainy Night In Georgia,Brook Benton,3:53,4,0.301,0.309,4,-19.155,0,0.042,0.524,0.0758,0.129,0.384,75.165,49,1970
Hey There Lonely Girl,Eddie Holman,3:36,3,0.389,0.322,9,-10.923,1,0.0282,0.693,0.00000208,0.0814,0.343,94.007,49,1970
Holly Holy,Neil Diamond,4:40,4,0.283,0.31,9,-14.284,1,0.0279,0.661,0.000588,0.122,0.402,103.285,49,1970
Jingle Jangle,the Archies,3:21,4,0.707,0.224,7,-12.037,0,0.0398,0.973,0.000832,0.0465,0.823,93.922,48,1970
Candida,Dawn,3:02,4,0.783,0.596,7,-10.056,1,0.0676,0.235,0,0.0427,0.88,127.576,47,1970
Green-Eyed Lady,Sugarloaf,3:39,4,0.564,0.523,7,-12.908,1,0.122,0.178,0.0303,0.0624,0.89,149.304,47,1970
United We Stand,The Brotherhood of Man,3:57,4,0.388,0.901,9,-6.846,0,0.122,0.0077,0.385,0.119,0.146,169.985,47,1970
Still Water (LOVE),The Four Tops,3:14,4,0.515,0.532,10,-12.472,1,0.0245,0.355,0.000711,0.498,0.961,94.165,47,1970
Take A Letter Maria,R.B. Greaves,2:44,4,0.582,0.5,2,-11.647,1,0.0459,0.636,0.00000971,0.134,0.971,160.414,46,1970
Reflections Of My Life,Marmalade,4:11,4,0.387,0.406,7,-10.666,1,0.0269,0.572,0.0354,0.295,0.509,92.683,45,1970
Ball Of Confusion (THAT’S What The World Is Today),The Temptations,4:06,4,0.529,0.735,5,-8.153,1,0.0896,0.238,0,0.102,0.862,79.002,45,1970
Patches,Clarence Carter,3:13,4,0.639,0.544,4,-12.843,1,0.141,0.617,0,0.479,0.793,80.844,44,1970
Midnight Cowboy,Ferrante and Teicher,2:57,4,0.58,0.636,5,-6.401,1,0.0252,0.214,0.001,0.108,0.715,92.476,44,1970
Band Of Gold,Freda Payne,3:32,4,0.608,0.478,11,-9.351,1,0.0369,0.569,0.00207,0.118,0.302,130.989,43,1970
Na Na Hey Hey Kiss Him Goodbye,Steam,4:07,4,0.637,0.916,7,-6.95,1,0.0458,0.0139,0.0000228,0.21,0.506,114.987,42,1970
Love On A Two-Way Street,The Moments,3:37,4,0.472,0.339,2,-10.969,1,0.0392,0.61,0,0.289,0.242,141.357,42,1970
"Tighter, Tighter",Alive N Kickin’,2:48,4,0.407,0.826,8,-10.014,0,0.053,0.0409,0.00014,0.0486,0.794,162.032,41,1970
Give Me Just A Little More Time,Chairmen of the Board,2:42,4,0.576,0.658,0,-5.231,1,0.0344,0.0613,0,0.0691,0.629,63.059,41,1970
Turn Back The Hands Of Time,Tyrone Davis,2:58,4,0.563,0.655,6,-6.399,1,0.032,0.168,0,0.0484,0.866,117.794,41,1970
Everything Is Beautiful,Ray Stevens,3:32,4,0.39,0.376,5,-15.205,1,0.0366,0.548,0,0.212,0.739,108.895,39,1970
We’ve Only Just Begun,The Carpenters,3:59,4,0.374,0.452,6,-5.854,0,0.0308,0.677,0.0000102,0.284,0.157,84.47,39,1970
Don’t Play That Song (YOU Lied),Aretha Franklin with the Dixie Flyers,2:54,4,0.699,0.454,1,-11.062,0,0.0505,0.74,0,0.166,0.692,110.566,37,1970
I Just Can’t Help Believing,B.J. Thomas,2:57,4,0.554,0.464,5,-8.529,1,0.0266,0.483,0,0.174,0.537,134.475,37,1970
Ma Belle Amie,Tee Set,3:14,4,0.419,0.492,7,-11.18,1,0.0448,0.11,0.000681,0.168,0.706,86.693,37,1970
Up The Ladder To The Roof,The Supremes,3:11,4,0.533,0.567,10,-13.743,1,0.0539,0.549,0.00000261,0.177,0.658,120.157,37,1970
Lay Down (CANDLES In The Rain),Melanie,7:39,4,0.317,0.866,7,-4.896,1,0.0703,0.426,0.000445,0.0792,0.603,94.372,36,1970
My Baby Loves Lovin’,White Plains,2:47,4,0.644,0.651,10,-10.871,1,0.0294,0.361,0,0.192,0.871,125.844,36,1970
"Julie, Do Ya Love Me",Bobby Sherman,2:52,4,0.425,0.41,9,-15.881,1,0.0341,0.507,0.00000218,0.3,0.664,82.177,35,1970
Which Way You Goin’ Billy?,The Poppy Family,3:23,4,0.508,0.67,1,-10.834,1,0.0346,0.416,0.0575,0.0868,0.646,93.406,35,1970
Psychedelic Shack,The Temptations,3:50,4,0.663,0.822,5,-13.119,0,0.059,0.199,0.00000869,0.0626,0.818,108.94,34,1970
Indiana Wants Me,R. Dean Taylor,3:35,4,0.532,0.834,8,-3.87,1,0.0404,0.0614,0.00192,0.314,0.706,88.69,32,1970
"Signed, Sealed, Delivered I’m Yours",Stevie Wonder,3:54,4,0.661,0.813,9,-6.898,1,0.0299,0.0138,0.311,0.324,0.44,109.872,32,1970
(I Know) I’m Losing You,Rare Earth,3:56,4,0.779,0.712,7,-7.246,0,0.0362,0.0359,0.00993,0.12,0.65,120.009,31,1970
Love Or Let Me Be Lonely,The Friends of Distinction,3:23,4,0.565,0.564,9,-12.923,1,0.0274,0.371,0,0.197,0.775,95.465,31,1970
Gimme Dat Ding,The Pipkins,2:14,4,0.649,0.741,7,-9.469,1,0.0414,0.598,0.00000215,0.0295,0.918,96.791,31,1970
Ain’t No Mountain High Enough,Diana Ross,3:26,4,0.207,0.202,11,-16.461,0,0.0383,0.861,0.0517,0.078,0.0791,89.116,30,1970
Without Love (THERE Is Nothing),Tom Jones,2:53,4,0.269,0.252,2,-15.729,1,0.0325,0.752,0.302,0.19,0.599,113.922,28,1970
Someday We’ll Be Together,Diana Ross & the Supremes,3:15,4,0.618,0.363,4,-12.986,1,0.0319,0.0323,0.357,0.104,0.113,117.978,27,1970
Eli’s Coming,Three Dog Night,2:41,4,0.33,0.771,9,-7.059,0,0.102,0.398,0.00283,0.198,0.44,167.128,27,1970
Jam Up And Jelly Tight,Tommy Roe,2:20,4,0.669,0.784,10,-6.648,0,0.0505,0.00708,0.121,0.0637,0.681,121.768,26,1970
For The Love Of Him,Bobbi Martin,3:13,4,0.5,0.81,6,-7.646,0,0.0474,0.0878,0.0607,0.127,0.545,132.046,25,1970
Something’s Burning,Kenny Rogers & The First Edition,2:46,4,0.635,0.566,5,-8.696,1,0.0246,0.372,0.0173,0.106,0.481,109.089,25,1970
I’ll Never Fall In Love Again,Dionne Warwick,4:15,3,0.358,0.547,4,-6.355,1,0.0287,0.794,0.00908,0.108,0.275,145.914,24,1970
La La La (IF I Had You),Bobby Sherman,2:42,4,0.232,0.644,9,-10.51,1,0.0494,0.741,0.0000465,0.743,0.897,200.423,20,1970
(IF You Let Me Make Love To You Then) Why Can’t I Touch You?,Ronnie Dyson,3:23,4,0.398,0.692,0,-8.596,1,0.045,0.496,0,0.394,0.65,93.907,20,1970
Come Together / Something *,The Beatles,4:17,4,0.524,0.364,9,-12.551,0,0.031,0.0258,0.433,0.132,0.505,167.534,14,1970
Somebody’s Been Sleeping,100 Proof (Aged in Soul),2:42,4,0.799,0.528,11,-15.649,0,0.0731,0.0122,0.739,0.0479,0.826,148.03,13,1970
Whole Lotta Love / Living Loving Maid,Led Zeppelin,5:13,4,0.297,0.934,1,-5.606,1,0.0943,0.000274,0.00374,0.78,0.384,79.781,0,1970
If,Bread,2:52,4,0.457,0.499,1,-6.67,1,0.0334,0.247,0.0000634,0.171,0.0348,127.95,84,1971
Your Song,Elton John,4:01,4,0.552,0.315,3,-11.028,1,0.0299,0.828,0.00000552,0.101,0.324,128.187,80,1971
Wild World,Cat Stevens,3:20,4,0.48,0.542,0,-8.51,1,0.0348,0.345,0.000609,0.113,0.567,152.853,79,1971
Proud Mary,Ike & Tina Turner,3:07,4,0.699,0.641,2,-7.564,1,0.0289,0.13,0.000218,0.0601,0.728,120.745,76,1971
"Take Me Home, Country Roads",John Denver,3:17,4,0.38,0.43,9,-12.564,1,0.0288,0.546,0.0000171,0.188,0.547,82.204,75,1971
Imagine,John Lennon / Plastic Ono Band,3:07,4,0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752,75,1971
I Think I Love You,the Partridge Family,3:42,4,0.671,0.418,6,-14.124,0,0.0371,0.187,0.215,0.132,0.607,91.866,75,1971
Black Magic Woman,Santana,3:16,4,0.489,0.349,2,-14.295,0,0.0323,0.676,0.0789,0.0866,0.622,124.348,70,1971
Tired Of Being Alone,Al Green,2:52,4,0.772,0.397,7,-8.585,1,0.0391,0.339,0.00541,0.0753,0.617,97.964,69,1971
Superstar,The Carpenters,4:49,4,0.572,0.822,11,-6.015,0,0.361,0.207,0,0.359,0.472,94.812,69,1971
Love Her Madly,The Doors,3:18,4,0.565,0.587,4,-7.393,0,0.0317,0.0573,0.00493,0.0416,0.966,147.462,69,1971
Bridge Over Troubled Water,Aretha Franklin,4:53,4,0.149,0.206,3,-13.888,1,0.0323,0.822,0.000649,0.115,0.264,79.764,68,1971
Me And Bobby Mcgee,Janis Joplin,4:31,4,0.43,0.463,2,-10.96,1,0.0442,0.303,0.0000584,0.152,0.66,93.405,68,1971
Mercy Mercy Me (THE Ecology),Marvin Gaye,3:13,4,0.498,0.634,6,-12.16,0,0.0475,0.328,0.748,0.0962,0.515,93.161,68,1971
Domino,Van Morrison,3:51,4,0.757,0.547,7,-4.572,1,0.0355,0.0115,0,0.0445,0.793,126.974,68,1971
Gypsy Woman,Brian Hyland,7:31,4,0.484,0.641,5,-12.612,1,0.0377,0.000779,0.278,0.0738,0.181,119.981,67,1971
Peace Train,Cat Stevens,4:13,4,0.594,0.682,0,-8.858,1,0.0487,0.051,0.0000456,0.0919,0.76,82.487,67,1971
Brown Sugar,The Rolling Stones,3:48,4,0.633,0.934,0,-3.594,1,0.0344,0.219,0.00021,0.0592,0.963,128.602,67,1971
If You Could Read My Mind,Gordon Lightfoot,3:48,4,0.612,0.24,9,-12.821,1,0.033,0.745,0.0000786,0.115,0.223,122.565,65,1971
If You Really Love Me,Stevie Wonder,3:04,4,0.692,0.883,7,-4.698,1,0.0582,0.0512,0,0.228,0.614,122.984,65,1971
Joy To The World,Three Dog Night,3:40,4,0.649,0.679,2,-12.515,1,0.0316,0.464,0.00121,0.339,0.971,126.867,65,1971
She’s A Lady,Tom Jones,2:54,4,0.51,0.876,2,-9.101,1,0.161,0.212,0,0.248,0.624,119.702,64,1971
How Can You Mend A Broken Heart,Bee Gees,6:23,3,0.467,0.42,4,-6.957,1,0.0398,0.509,0.0000256,0.0707,0.365,146.512,63,1971
